90,0.000036,0.355211,0.000013
0,0.000035,0.348354,0.000012
85,0.000034,0.337775,0.000011
45,0.000037,0.366725,0.000014
35,0.000034,0.345793,0.000012
15,0.000019,0.191217,0.000004
90,0.000033,0.329868,0.000011
80,0.000033,0.331330,0.000011
50,0.000032,0.317959,0.000010
60,0.000032,0.317257,0.000010
5,0.000031,0.308192,0.000010
75,0.000030,0.303947,0.000009
65,0.000030,0.298429,0.000009
40,0.000030,0.299536,0.000009
25,0.000030,0.298021,0.000009
20,0.000030,0.295634,0.000009
30,0.000030,0.294712,0.000009
0,0.000029,0.290354,0.000008
10,0.000029,0.288657,0.000008
55,0.000028,0.284009,0.000008
70,0.000028,0.286056,0.000008
