Voltage,Current,Power
1.882940,150.500000,283.382476
1.243670,78.900001,98.125572
1.866750,150.399993,280.759216
1.166940,82.699996,96.505935
1.870210,150.000000,280.531494
1.505740,80.099998,120.609771
1.842410,148.699996,273.966369
1.405120,96.300003,135.313079
1.756470,149.000000,261.714050
1.750550,91.199996,159.650161
1.789210,146.399993,261.940368
1.690390,117.099998,197.944686
1.485880,147.300003,218.870132
1.830860,110.599998,202.493133
1.582600,141.399993,223.779632
1.818790,138.600006,252.084335
1.168200,143.399993,167.519897
1.862990,133.899993,249.454345
1.244550,120.599998,150.092742
1.858960,146.100006,271.594085
0.987850,126.699996,125.160591
1.879020,149.300003,280.537719
1.027890,95.300003,97.957931
1.878930,148.899993,279.772674
0.992800,101.599998,100.868476
1.878960,150.100006,282.031921
0.980460,81.099998,79.515304
1.866780,150.000000,280.017028
1.142670,82.000000,93.698944
1.870320,149.800003,280.173950
1.481610,80.199996,118.825119
1.842470,150.100006,276.554779
1.397020,95.699996,133.694824
1.772830,149.000000,264.151702
1.742510,90.800003,158.219924
1.797470,146.600006,263.509124
1.686360,117.099998,197.472747
1.518100,147.300003,223.616134
1.830840,111.199996,203.589416
1.602770,141.699996,227.112518
1.838430,148.500000,273.006866
1.786650,97.599998,174.377044
1.748400,148.600006,259.812255
1.766580,128.000000,226.122253
1.777000,145.899993,259.264312
1.850900,122.599998,226.920349
1.421490,146.500000,208.248291
1.842880,143.800003,265.006164
1.485910,137.699996,204.609817
1.871000,142.600006,266.804626
1.083970,140.000000,151.755813
1.871000,148.100006,277.095123
1.116490,107.300003,119.799377
1.874950,147.800003,277.117645
0.976340,110.900001,108.276115
1.878960,149.800003,281.468231
0.972220,82.800003,80.499824
1.862780,149.600006,278.671905
1.118450,81.099998,90.706298
1.866800,149.500000,279.086608
0.620740,56.700000,35.195960
0.416020,30.200000,12.563806
0.737670,62.900001,46.399448
0.528980,29.100000,15.393321
0.838040,74.400001,62.350177
1.261500,86.599998,109.245895
1.212200,130.199996,157.828460
1.666030,117.699996,196.091735
1.659540,140.300003,232.833496
1.822680,127.000000,231.480377
1.337030,143.000000,191.195297
1.818700,142.199996,258.619171
1.445650,133.899993,193.572540
1.846800,140.100006,258.736694
1.079910,137.800003,148.811599
1.842790,145.699996,268.494506
1.123970,108.699996,122.175537
1.854790,144.800003,268.573608
0.947780,117.099998,110.985046
1.854830,147.600006,273.772918
1.838600,146.800003,269.906494
0.964780,73.699996,71.104286
1.842650,147.600006,271.975158
1.191230,74.699996,88.984878
1.830430,147.199996,269.439300
1.110450,78.900001,87.614509
1.789820,147.600006,264.177459
1.413090,76.000000,107.394851
1.806130,146.100006,263.875610
1.308280,89.900001,117.614372
1.728390,146.699996,253.554824
1.654130,84.599998,139.939407
1.769310,144.600006,255.842239
1.550600,106.000000,164.363601
1.554440,145.500000,226.171020
1.766490,132.199996,233.529983
1.667500,141.699996,236.284759
1.826720,123.300003,225.234588
1.308800,143.399993,187.681930
1.810660,140.899993,255.121994
0.000040,0.300000,0.000012
0.000030,0.300000,0.000009
0.000030,0.400000,0.000012
0.000050,0.500000,0.000025
0.000040,0.400000,0.000016
0.000040,0.300000,0.000012
0.000040,0.300000,0.000012
0.000030,0.400000,0.000012
0.000030,0.400000,0.000012
0.000040,0.400000,0.000016
0.000040,0.400000,0.000016
0.000040,0.300000,0.000012
0.000030,0.400000,0.000012
0.000030,0.300000,0.000009
0.000030,0.400000,0.000012
0.000040,0.300000,0.000012
0.000040,0.400000,0.000016
0.000040,0.300000,0.000012
0.000030,0.300000,0.000009
0.000030,0.400000,0.000012
2.036730,108.500000,220.985214
1.671220,167.399993,279.762237
1.928470,134.300003,258.993530
1.828510,160.800003,294.024414
2.092910,122.099998,255.544342
1.461760,164.899993,241.044219
2.044750,148.600006,303.849884
1.638960,150.800003,247.155166
2.116980,135.899993,287.697570
1.280730,160.000000,204.916824
2.092890,159.600006,334.025299
1.445630,137.300003,198.485015
2.129020,149.399993,318.075561
1.132110,150.100006,169.929733
2.112970,165.000000,348.640075
1.268670,122.599998,155.538955
2.137030,159.600006,341.070007
1.035850,137.199996,142.118621
2.125010,167.199996,355.301666
1.132090,108.699996,123.058189
1.470930,122.699996,180.483108
1.041600,53.799999,56.038085
1.357770,116.099998,157.637100
0.904480,62.200000,56.258659
1.204290,121.300003,146.080398
1.085930,55.400001,60.160530
1.305310,112.400001,146.716842
0.926990,63.299999,58.678470
1.147850,117.900001,135.331527
1.097990,75.199996,82.568847
1.273020,110.500000,140.668716
1.267170,65.300003,82.746208
1.111540,100.400001,111.598625
1.126210,77.400001,87.168663
0.926180,108.800003,100.768386
1.311470,68.000000,89.179962
1.594790,145.300003,231.723007
1.932170,137.899993,266.446258
1.562420,163.300003,255.143188
2.032550,119.800003,243.499511
2.084690,149.600006,311.869659
1.031590,98.500000,101.611625
2.088590,161.399993,337.098449
0.915530,113.199996,103.637992
2.084640,165.000000,343.965606
0.967360,90.400001,87.449348
2.080510,162.500000,338.082885
0.899650,104.500000,94.013427
2.080590,165.199996,343.713500
0.919240,83.900001,77.124244
2.072400,163.000000,337.801208
0.891780,73.099998,65.189125
2.076500,165.100006,342.830200
0.969010,78.599998,76.164192
2.060250,163.199996,336.232788
0.883900,70.599998,62.403343
2.067590,164.899993,340.945587
0.993320,74.699996,74.201004
2.048040,164.699996,337.312194
0.896150,69.300003,62.103202
