Angle (deg),Shunt Voltage (mV),Bus Voltage (V),Load Voltage (V),Current (mA),Power (mW)
15,7.710000,0.832000,0.839710,57.799999,22.000000
15,9.980000,1.248000,1.257980,97.400001,78.000000
15,7.230000,1.008000,1.015230,88.400001,122.000000
15,4.130000,0.508000,0.512130,45.299999,56.000000
15,7.810000,0.848000,0.855810,59.099998,22.000000
15,9.860000,1.244000,1.253860,98.500000,86.000000
5,4.330000,0.612000,0.616330,79.199996,86.000000
5,6.220000,0.656000,0.662220,40.200000,20.000000
5,9.870000,1.188000,1.197870,72.400001,56.000000
5,8.080000,1.088000,1.096080,93.099998,122.000000
5,4.090000,0.552000,0.556090,52.799999,76.000000
5,6.660000,0.708000,0.714660,49.299999,20.000000
10,9.230000,1.200000,1.209230,95.699996,108.000000
10,5.290000,0.772000,0.777290,88.199996,102.000000
10,4.800000,0.524000,0.528800,46.400001,32.000000
10,8.970001,1.012000,1.020970,72.300003,30.000000
10,9.390000,1.208000,1.217390,99.000000,102.000000
10,5.640000,0.824000,0.829640,76.000000,104.000000
20,8.150000,0.896000,0.904150,46.500000,22.000000
20,9.540000,1.216000,1.225540,88.300003,88.000000
20,6.240000,0.896000,0.902240,91.900001,108.000000
20,4.120000,0.484000,0.488120,54.400001,42.000000
20,7.560000,0.824000,0.831560,43.299999,20.000000
20,9.210000,1.152000,1.161210,80.000000,72.000000
25,4.630000,0.680000,0.684630,64.800003,86.000000
25,4.370000,0.476000,0.480370,37.500000,30.000000
25,7.940000,0.888000,0.895940,62.900001,22.000000
25,8.840001,1.124000,1.132840,91.099998,78.000000
25,5.870000,0.832000,0.837870,75.400001,96.000000
25,4.920000,0.448000,0.452920,38.900001,20.000000
30,8.750000,0.840000,0.848750,59.299999,36.000000
30,7.870000,1.040000,1.047870,89.500000,96.000000
30,4.100000,0.592000,0.596100,73.900001,72.000000
30,4.870000,0.516000,0.520870,37.500000,20.000000
30,8.420001,0.968000,0.976420,53.500000,30.000000
30,8.150000,1.060000,1.068150,86.900001,88.000000
90,8.590001,1.016000,1.024590,76.000000,36.000000
90,7.150000,0.960000,0.967150,82.000000,96.000000
90,4.060000,0.444000,0.448060,42.500000,26.000000
90,7.970000,0.904000,0.911970,49.000000,26.000000
90,7.900000,1.032000,1.039900,85.000000,86.000000
90,4.020000,0.584000,0.588020,72.699996,72.000000
0,4.470000,0.472000,0.476470,35.599998,20.000000
0,8.080000,0.928000,0.936080,67.199996,26.000000
0,7.840000,1.020000,1.027840,85.099998,82.000000
0,4.210000,0.620000,0.624210,59.299999,72.000000
0,6.010000,0.476000,0.482010,35.400001,16.000000
0,8.570000,1.040000,1.048570,66.699996,50.000000
